"Code","Description","Parent"
"52255","pražce z betonu předpjatého","5225"
"52256","jiné konstrukce místo pražců","5225"
"52257","mostnice","5225"
"52258","podélné prahy","5225"
"52259","ostatní","5225"
"5226","tvar jiný do 20 kg/m","522"
"52261","pražce dřevěné měkké","5226"
"52262","pražce dřevěné tvrdé","5226"
"52263","pražce ocelové","5226"
"52264","pražce železobeton.","5226"
"52265","pražce z betonu předpjatého","5226"
"52266","jiné konstrukce místo pražců","5226"
"52267","mostnice","5226"
"52268","podélné prahy","5226"
"52269","ostatní","5226"
"5227","žlábkové","522"
"52271","pražce dřevěné měkké","5227"
"52272","pražce dřevěné tvrdé","5227"
"52273","pražce ocelové","5227"
"52274","pražce železobeton.","5227"
"52275","pražce z betonu předpjatého","5227"
"52276","jiné konstrukce místo pražců","5227"
"52277","mostnice","5227"
"52278","podélné prahy","5227"
"52279","ostatní","5227"
"5228","bez materiálu","522"
"52281","pražce dřevěné měkké","5228"
"52282","pražce dřevěné tvrdé","5228"
"52283","pražce ocelové","5228"
"52284","pražce železobeton.","5228"
"52285","pražce z betonu předpjatého","5228"
"52286","jiné konstrukce místo pražců","5228"
"52287","mostnice","5228"
"52288","podélné prahy","5228"
"52289","ostatní","5228"
"5229","ostatní","522"
"52291","pražce dřevěné měkké","5229"
"52292","pražce dřevěné tvrdé","5229"
"52293","pražce ocelové","5229"
"52294","pražce železobeton.","5229"
"52295","pražce z betonu předpjatého","5229"
"52296","jiné konstrukce místo pražců","5229"
"52297","mostnice","5229"
"52298","podélné prahy","5229"
"52299","ostatní","5229"
"523","zřízení koleje městské","52"
"5231","tvar R 65","523"
"52311","pražce dřevěné měkké","5231"
"52312","pražce dřevěné tvrdé","5231"
"52313","pražce ocelové","5231"
"52314","pražce železobeton.","5231"
"52315","pražce z betonu předpjatého","5231"
"52316","jiné konstrukce místo pražců","5231"
"52317","mostnice","5231"
"52318","podélné prahy","5231"
"52319","ostatní","5231"
"5232","tvar T","523"
"52321","pražce dřevěné měkké","5232"
"52322","pražce dřevěné tvrdé","5232"
"52323","pražce ocelové","5232"
"52324","pražce železobeton.","5232"
"52325","pražce z betonu předpjatého","5232"
"52326","jiné konstrukce místo pražců","5232"
"52327","mostnice","5232"
"52328","podélné prahy","5232"
"52329","ostatní","5232"
"5233","tvar S 49","523"
"52331","pražce dřevěné měkké","5233"
"52332","pražce dřevěné tvrdé","5233"
"52333","pražce ocelové","5233"
"52334","pražce železobeton.","5233"
"52335","pražce z betonu předpjatého","5233"
"52336","jiné konstrukce místo pražců","5233"
"52337","mostnice","5233"
"52338","podélné prahy","5233"
"52339","ostatní","5233"
"5234","tvar jiný od 45 kg/m","523"
"52341","pražce dřevěné měkké","5234"
"52342","pražce dřevěné tvrdé","5234"
"52343","pražce ocelové","5234"
"52344","pražce železobeton.","5234"
"52345","pražce z betonu předpjatého","5234"
"52346","jiné konstrukce místo pražců","5234"
"52347","mostnice","5234"
"52348","podélné prahy","5234"
"52349","ostatní","5234"
"5235","tvar jiný od 20 do 45 kg/m","523"
"52351","pražce dřevěné měkké","5235"
"52352","pražce dřevěné tvrdé","5235"
"52353","pražce ocelové","5235"
"52354","pražce železobeton.","5235"
"52355","pražce z betonu předpjatého","5235"
"52356","jiné konstrukce místo pražců","5235"
"52357","mostnice","5235"
"52358","podélné prahy","5235"
"52359","ostatní","5235"
"5236","tvar jiný do 20 kg/m","523"
"52361","pražce dřevěné měkké","5236"
"52362","pražce dřevěné tvrdé","5236"
"52363","pražce ocelové","5236"
"52364","pražce železobeton.","5236"
"52365","pražce z betonu předpjatého","5236"
"52366","jiné konstrukce místo pražců","5236"
"52367","mostnice","5236"
"52368","podélné prahy","5236"
"52369","ostatní","5236"
"5237","žlábkové","523"
"52371","pražce dřevěné měkké","5237"
"52372","pražce dřevěné tvrdé","5237"
"52373","pražce ocelové","5237"
"52374","pražce železobeton.","5237"
"52375","pražce z betonu předpjatého","5237"
"52376","jiné konstrukce místo pražců","5237"
"52377","mostnice","5237"
"52378","podélné prahy","5237"
"52379","ostatní","5237"
"5238","bez materiálu","523"
"52381","pražce dřevěné měkké","5238"
"52382","pražce dřevěné tvrdé","5238"
"52383","pražce ocelové","5238"
"52384","pražce železobeton.","5238"
"52385","pražce z betonu předpjatého","5238"
"52386","jiné konstrukce místo pražců","5238"
"52387","mostnice","5238"
"52388","podélné prahy","5238"
"52389","ostatní","5238"
"5239","ostatní","523"
"52391","pražce dřevěné měkké","5239"
"52392","pražce dřevěné tvrdé","5239"
"52393","pražce ocelové","5239"
"52394","pražce železobeton.","5239"
"52395","pražce z betonu předpjatého","5239"
"52396","jiné konstrukce místo pražců","5239"
"52397","mostnice","5239"
"52398","podélné prahy","5239"
"52399","ostatní","5239"
"524","zřízení koleje úzkorozchodné","52"
"5241","tvar R 65","524"
"52411","pražce dřevěné měkké","5241"
"52412","pražce dřevěné tvrdé","5241"
"52413","pražce ocelové","5241"
"52414","pražce železobeton.","5241"
"52415","pražce z betonu předpjatého","5241"
"52416","jiné konstrukce místo pražců","5241"
"52417","mostnice","5241"
"52418","podélné prahy","5241"
"52419","ostatní","5241"
"5242","tvar T","524"
"52421","pražce dřevěné měkké","5242"
"52422","pražce dřevěné tvrdé","5242"
"52423","pražce ocelové","5242"
"52424","pražce železobeton.","5242"
"52425","pražce z betonu předpjatého","5242"
"52426","jiné konstrukce místo pražců","5242"
"52427","mostnice","5242"
"52428","podélné prahy","5242"
"52429","ostatní","5242"
"5243","tvar S 49","524"
"52431","pražce dřevěné měkké","5243"
"52432","pražce dřevěné tvrdé","5243"
"52433","pražce ocelové","5243"
"52434","pražce železobeton.","5243"
"52435","pražce z betonu předpjatého","5243"
"52436","jiné konstrukce místo pražců","5243"
"52437","mostnice","5243"
"52438","podélné prahy","5243"
"52439","ostatní","5243"
"5244","tvar jiný od 45 kg/m","524"
"52441","pražce dřevěné měkké","5244"
"52442","pražce dřevěné tvrdé","5244"
"52443","pražce ocelové","5244"
"52444","pražce železobeton.","5244"
"52445","pražce z betonu předpjatého","5244"
"52446","jiné konstrukce místo pražců","5244"
"52447","mostnice","5244"
"52448","podélné prahy","5244"
"52449","ostatní","5244"
"5245","tvar jiný od 20 do 45 kg/m","524"
"52451","pražce dřevěné měkké","5245"
"52452","pražce dřevěné tvrdé","5245"
"52453","pražce ocelové","5245"
"52454","pražce železobeton.","5245"
"52455","pražce z betonu předpjatého","5245"
"52456","jiné konstrukce místo pražců","5245"
"52457","mostnice","5245"
"52458","podélné prahy","5245"
"52459","ostatní","5245"
"5246","tvar jiný do 20 kg/m","524"
"52461","pražce dřevěné měkké","5246"
"52462","pražce dřevěné tvrdé","5246"
"52463","pražce ocelové","5246"
"52464","pražce železobeton.","5246"
"52465","pražce z betonu předpjatého","5246"
"52466","jiné konstrukce místo pražců","5246"
"52467","mostnice","5246"
"52468","podélné prahy","5246"
"52469","ostatní","5246"
"5247","žlábkové","524"
"52471","pražce dřevěné měkké","5247"
"52472","pražce dřevěné tvrdé","5247"
"52473","pražce ocelové","5247"
"52474","pražce železobeton.","5247"
"52475","pražce z betonu předpjatého","5247"
"52476","jiné konstrukce místo pražců","5247"
"52477","mostnice","5247"
"52478","podélné prahy","5247"
"52479","ostatní","5247"
"5248","bez materiálu","524"
"52481","pražce dřevěné měkké","5248"
"52482","pražce dřevěné tvrdé","5248"
"52483","pražce ocelové","5248"
"52484","pražce železobeton.","5248"
"52485","pražce z betonu předpjatého","5248"
"52486","jiné konstrukce místo pražců","5248"
"52487","mostnice","5248"
"52488","podélné prahy","5248"
"52489","ostatní","5248"
"5249","ostatní","524"
"52491","pražce dřevěné měkké","5249"
"52492","pražce dřevěné tvrdé","5249"
"52493","pražce ocelové","5249"
"52494","pražce železobeton.","5249"
"52495","pražce z betonu předpjatého","5249"
"52496","jiné konstrukce místo pražců","5249"
"52497","mostnice","5249"
"52498","podélné prahy","5249"
"52499","ostatní","5249"
"525","snesení koleje železniční","52"
"5251","tvar R 65","525"
"52511","pražce dřevěné měkké","5251"
"52512","pražce dřevěné tvrdé","5251"
"52513","pražce ocelové","5251"
"52514","pražce železobeton.","5251"
"52515","pražce z betonu předpjatého","5251"
"52516","jiné konstrukce místo pražců","5251"
"52517","mostnice","5251"
"52518","podélné prahy","5251"
"52519","ostatní","5251"
"5252","tvar T","525"
"52521","pražce dřevěné měkké","5252"
"52522","pražce dřevěné tvrdé","5252"
"52523","pražce ocelové","5252"
"52524","pražce železobeton.","5252"
"52525","pražce z betonu předpjatého","5252"
"52526","jiné konstrukce místo pražců","5252"
"52527","mostnice","5252"
"52528","podélné prahy","5252"
"52529","ostatní","5252"
"5253","tvar S 49","525"
"52531","pražce dřevěné měkké","5253"
"52532","pražce dřevěné tvrdé","5253"
"52533","pražce ocelové","5253"
"52534","pražce železobeton.","5253"
"52535","pražce z betonu předpjatého","5253"
"52536","jiné konstrukce místo pražců","5253"
"52537","mostnice","5253"
"52538","podélné prahy","5253"
"52539","ostatní","5253"
"5254","tvar jiný od 45 kg/m","525"
"52541","pražce dřevěné měkké","5254"
"52542","pražce dřevěné tvrdé","5254"
"52543","pražce ocelové","5254"
