"Code","Description","Parent"
"25690","bez materiálu","2569"
"257","zdivo nad kesonem, mezikesonové a výplňové","25"
"2573","betonové monolitické","257"
"25730","bez ohledu na materiál","2573"
"25731","z betonu prostého a prokládaného","2573"
"25732","ze železobetonu","2573"
"25735","bednění","2573"
"25736","výztuž z betonářské oceli","2573"
"2579","ostatní","257"
"25790","bez materiálu","2579"
"259","ostatní","25"
"2599","ostatní","259"
"25990","bez materiálu","2599"
"26","podzemní stěny","2"
"261","železobetonové","26"
"2611","prefabrikované","261"
"26111","dílec","2611"
"26112","výplň jílocementová","2611"
"2612","monolitické","261"
"2616","výztuž","261"
"2619","ostatní práce","261"
"26191","odbourání","2619"
"26192","úprava líce","2619"
"262","jílocementové","26"
"2621","těsnící","262"
"26211","tenké","2621"
"266","pažení rýh","26"
"2661","suspenzí","266"
"26611","bentonitovou","2661"
"267","hloubení rýh","26"
"2671","tř. horniny vrtatelnosti I","267"
"26711","nepažené","2671"
"26712","pažené dočasnými výpažnicemi","2671"
"26713","pažené trval. výpažnicemi","2671"
"26714","vytažení pažnic","2671"
"26715","pažení suspenzí","2671"
"26719","ostatní","2671"
"2672","tř. horniny vrtatelnosti II","267"
"26721","nepažené","2672"
"26722","pažené dočasnými výpažnicemi","2672"
"26723","pažené trval. výpažnicemi","2672"
"26724","vytažení pažnic","2672"
"26725","pažení suspenzí","2672"
"26729","ostatní","2672"
"2673","tř. horniny vrtatelnosti III","267"
"26731","nepažené","2673"
"26732","pažené dočasnými výpažnicemi","2673"
"26733","pažené trval. výpažnicemi","2673"
"26734","vytažení pažnic","2673"
"26735","pažení suspenzí","2673"
"26739","ostatní","2673"
"2674","tř. horniny vrtatelnosti IV","267"
"26741","nepažené","2674"
"26742","pažené dočasnými výpažnicemi","2674"
"26743","pažené trval. výpažnicemi","2674"
"26744","vytažení pažnic","2674"
"26745","pažení suspenzí","2674"
"26749","ostatní","2674"
"2675","tř. horniny vrtatelnosti V","267"
"26751","nepažené","2675"
"26752","pažené dočasnými výpažnicemi","2675"
"26753","pažené trval. výpažnicemi","2675"
"26754","vytažení pažnic","2675"
"26755","pažení suspenzí","2675"
"26759","ostatní","2675"
"2676","tř. horniny vrtatelnosti VI","267"
"26761","nepažené","2676"
"26762","pažené dočasnými výpažnicemi","2676"
"26763","pažené trval. výpažnicemi","2676"
"26764","vytažení pažnic","2676"
"26765","pažení suspenzí","2676"
"26769","ostatní","2676"
"268","pomocné konstrukce","26"
"2681","vodící zídky","268"
"26811","železobetonové","2681"
"27","základy","2"
"271","podklady","27"
"2713","betonové monolitické","271"
"27130","bez ohledu na materiál","2713"
"27131","z betonu prostého a prokládaného","2713"
"27132","ze železobetonu","2713"
"27135","bednění","2713"
"27136","výztuž z betonářské oceli","2713"
"27139","ostatní","2713"
"2714","z malt a pojiv","271"
"27140","bez ohledu na druh malt a pojiv","2714"
"27141","z cementu, vápna, barviv (mimo malt)","2714"
"27142","z malty vápenné a vápenocementové","2714"
"27145","z malty cementové","2714"
"27149","z ostatních malt a pojiv","2714"
"2715","z kameniva apod.","271"
"27150","bez členění","2715"
"27152","z kameniva hrubého drceného - makadam","2715"
"27153","z kameniva hrubého drceného - štěrk","2715"
"27154","ze štěrkodrtě","2715"
"27155","ze strusky, škváry a struskového kameniva","2715"
"27156","z kameniva drobného drceného (drtě)","2715"
"27157","z kameniva těženého (písek) a štěrkopísku","2715"
"27159","ostatní","2715"
"2716","z pojiv a těsnícího materiálu","271"
"27160","bez ohledu na druh materiálu","2716"
"27161","z cementu","2716"
"27163","z dehtů","2716"
"27168","z jílů a hlín","2716"
"2719","ostatní","271"
"27190","bez materiálu","2719"
"27192","z betonových a železobetonových výrobků","2719"
"272","základové klenby","27"
"2721","z prefabrikovaných dílců","272"
"27210","z dílců bez ohledu na materiál","2721"
"27211","z dílců betonových","2721"
"2722","zděné a ukládané","272"
"27220","bez ohledu na materiál","2722"
"27221","z kamene a lomařských výrobků","2722"
"27222","z kamenických výrobků","2722"
"27223","z cihel a tvárnic pálených","2722"
"27226","z bloků (kvádrů)","2722"
"27227","z cihel a tvárnic nepálených","2722"
"2723","betonové monolitické","272"
"27230","bez ohledu na materiál","2723"
"27231","z betonu prostého a prokládaného","2723"
"27232","ze železobetonu","2723"
"27235","bednění","2723"
"27236","výztuž z betonářské oceli","2723"
"27239","ostatní","2723"
"273","základové desky","27"
"2731","z prefabrikovaných dílců","273"
"27310","z dílců bez ohledu na materiál","2731"
"27311","z dílců betonových","2731"
"27312","z dílců železobetonových","2731"
"2733","betonové monolitické","273"
"27330","bez ohledu na materiál","2733"
"27331","z betonu prostého a prokládaného","2733"
"27332","ze železobetonu","2733"
"27334","z betonu lehkého a zvláštního","2733"
"27335","bednění","2733"
"27336","výztuž z betonářské oceli","2733"
"274","základové pásy, prahy, věnce, ostruhy","27"
"2741","z prefabrikovaných dílců","274"
"27410","z dílců bez ohledu na materiál","2741"
"27411","z dílců betonových","2741"
"27412","z dílců železobetonových","2741"
"2742","zděné a ukládané","274"
"27420","bez ohledu na materiál","2742"
"27421","z kamene a lomařských výrobků","2742"
"27423","z cihel a tvárnic pálených","2742"
"27426","z bloků (kvádrů)","2742"
"27427","z cihel a tvárnic nepálených","2742"
"2743","betonové monolitické","274"
"27430","bez ohledu na materiál","2743"
"27431","z betonu prostého a prokládaného","2743"
"27432","ze železobetonu","2743"
"27435","bednění","2743"
"27436","výztuž z betonářské oceli","2743"
"27439","ostatní","2743"
"275","základové patky a bloky (hranice)","27"
"2751","z prefabrikovaných dílců","275"
"27510","z dílců bez ohledu na materiál","2751"
"27511","z dílců betonových","2751"
"27512","z dílců železobetonových","2751"
"27518","z dílců dřevěných","2751"
"27519","z dílců kamenných","2751"
"2752","zděné a ukládané","275"
"27520","bez ohledu na materiál","2752"
"27521","z kamene a lomařských výrobků","2752"
"27523","z cihel a tvárnic pálených","2752"
"27526","z bloků (kvádrů)","2752"
"27527","z cihel a tvárnic nepálených","2752"
"2753","betonové monolitické","275"
"27530","bez ohledu na materiál","2753"
"27531","z betonu prostého a prokládaného","2753"
"27532","ze železobetonu","2753"
"27533","z betonu předpjatého","2753"
"27534","z betonu lehkého a zvláštního","2753"
"27535","bednění","2753"
"27536","výztuž z betonářské oceli","2753"
"277","základové pilíře (bárky)","27"
"2771","z prefabrikovaných dílců","277"
"27710","z dílců bez ohledu na materiál","2771"
"27711","z dílců betonových","2771"
"27712","z dílců železobetonových","2771"
"27718","z dílců dřevěných","2771"
"27719","z dílců kamenných","2771"
"2772","zděné a ukládané","277"
"27720","bez ohledu na materiál","2772"
"27721","z kamene a lomařských výrobků","2772"
"27722","z kamenických výrobků","2772"
"27723","z cihel a tvárnic pálených","2772"
"27725","ze stavebních desek včetně izolačních","2772"
"27726","z bloků (kvádrů)","2772"
"2773","betonové monolitické","277"
"27730","bez ohledu na materiál","2773"
"27731","z betonu prostého a prokládaného","2773"
"27732","ze železobetonu","2773"
"27734","z betonu lehkého a zvláštního","2773"
"27735","bednění","2773"
"27736","výztuž z betonářské oceli","2773"
"278","základy pod stroje, drobné základy instalační","27"
"2781","z prefabrikovaných dílců","278"
"27810","z dílců bez ohledu na materiál","2781"
"27811","z dílců betonových","2781"
"27812","z dílců železobetonových","2781"
"2782","zděné a ukládané","278"
"27820","bez ohledu na materiál","2782"
"27823","z cihel a tvárnic pálených","2782"
"27825","ze stavebních desek včetně izolačních","2782"
"27826","z bloků (kvádrů)","2782"
"2783","betonové monolitické","278"
"27830","bez ohledu na materiál","2783"
"27831","z betonu prostého a prokládaného","2783"
"27832","ze železobetonu","2783"
"27834","z betonu lehkého a zvláštního","2783"
"27835","bednění","2783"
"27836","výztuž z betonářské oceli","2783"
"27838","31 až 34 včetně bednění a výztuže","2783"
"279","ostatní","27"
"28","zpevňování hornin - injektáže a mikropiloty","2"
"281","injektování nízkotlaké","28"
"2816","z pojiv a těsnícího materiálu","281"
"28160","bez ohledu na druh materiálu","2816"
"28161","z cementu","2816"
"28166","z chemických pojiv","2816"
"282","injektování vysokotlaké","28"
"2826","z pojiv a těsnícího materiálu","282"
"28260","bez ohledu na druh materiálu","2826"
"28261","z cementu","2826"
"28266","z chemických pojiv","2826"
"283","mikropiloty","28"
"2831","trubkové","283"
"28311","tělo mikropiloty","2831"
"28313","hlava mikropiloty","2831"
"289","ostatní","28"
"29","pomocné konstrukce pro zakládání","2"
"291","zpevněné plochy","29"
"2911","z kameniva","291"
"2912","ze železobetonu","291"
"292","prostorové","29"
"2921","ocelové","292"
"29211","z terénu","2921"
"29212","z lodi","2921"
"2922","dřevěné","292"
"29221","z terénu","2922"
"29222","z lodi","2922"
